intinn	iːɴʲtʲəɴʲ	ийңтјәңь
coisin	kosʲənʲ	кошјәнь
coisint	kosʲəɴʲtʲ	кошјәңть
inseacht	iːnʲsʲəxt	ийншјәхт
togh	tau	таў
drochsheans	droxhæːɴs	дрохһӕңс
cionn	kʲiːɴ	кийң
meisce	mʲisʲkʲə	мишкјә
milleadh	mʲiːʟʲə	мийӆјә
thrí	hrʲiː	һрий
